timestamp,gross_return,net_return,benchmark_return,one_way_turnover,traded_notional,cost,gross_exposure,net_exposure,cash_weight,max_abs_weight,concentration_hhi,rebalanced,decision_eligible,decision_schedule_kind,decision_every_bars,decision_anchor,decision_session,execution_reason,execution_risk_status,execution_risk_forecast_available,execution_risk_observations,pretrade_risk_forecast_annualized,proposed_risk_forecast_pre_annualized,proposed_risk_forecast_post_annualized,executed_risk_forecast_annualized,execution_risk_ceiling_annualized,proposed_runtime_risk_scale,execution_risk_repair_scale,proposed_one_way_turnover,ordinary_rebalance,risk_rebalance_override,constraint_rebalance_override,constraint_repair_one_way,executed_constraint_maximum_error,max_participation,mean_participation
2024-01-02,0,0,9.5799927451789557e-05,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-03,0,0,-0.00030717445758671191,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-04,0,0,-0.00020018470871091543,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-05,0,0,-4.3126983264186319e-07,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-08,0,0,0.0029071664573419769,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-09,0,0,-0.00013281169145303549,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-10,0,0,-0.0015331957727266101,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-11,0,0,0.00040095257449433252,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-12,0,0,0.001548707271966987,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-15,0,0,-0.00044233918351734491,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-16,0,0,-0.0014836926246838598,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-17,0,0,0.00023849791336931058,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
