factor,percentile_score,translation_score,translation_value,translation_observations,translation_method,evaluation_mode,prior_signal_state,signal_state,signal_event,decision_eligible,decision_schedule_kind,decision_every_bars,decision_anchor,decision_session,tradable,permitted_direction,position_role,long_gross_limit,short_gross_limit,mandate_id,conviction,trailing_volatility,risk_strength,allocation_status,pre_governor_target_weight,risk_governor_status,risk_estimation_observations,risk_forecast_pre_annualized,risk_forecast_post_annualized,risk_volatility_ceiling_annualized,risk_governor_scale,prior_target_weight,proposed_target_weight,target_delta,target_action,diagonal_risk_budget_share,timestamp,asset,regime,pretrade_weight,executed_weight,executed_state,trade_weight,execution_action,execution_reason,execution_risk_status,execution_risk_forecast_available,execution_risk_observations,pretrade_risk_forecast_annualized,proposed_risk_forecast_pre_annualized,proposed_risk_forecast_post_annualized,executed_risk_forecast_annualized,execution_risk_ceiling_annualized,proposed_runtime_risk_scale,execution_risk_repair_scale,proposed_one_way_turnover,ordinary_rebalance,risk_rebalance_override,constraint_rebalance_override,constraint_repair_one_way,executed_constraint_maximum_error,liquidity_capacity_status,liquidity_adv_observations,causal_adv_dollar_volume,reference_nav_adv_participation,asset_capacity_nav_1pct,asset_capacity_nav_5pct,portfolio_capacity_nav_1pct,portfolio_capacity_nav_5pct,capacity_binding_asset,asset_forward_return,gross_return_contribution,cost_contribution,net_return_contribution,one_way_turnover_contribution,component_variance,variance_contribution_share,portfolio_variance,portfolio_gross_return,portfolio_cost,portfolio_net_return,portfolio_traded_notional
,,,,0,prediction-mode-causal-percentile-v2,cross-sectional,0,0,unavailable_flat,True,every-bars,1,dataset-start,dataset,True,dollar-neutral,two-sided,0.5,0.5,mandate-678fa6043016024d,0,,0,insufficient_cross_section,0,flat,0,0,0,0.14999999999999999,1,0,0,0,stay_flat,0,2024-01-02,ALPHA,unavailable,0,0,0,0,stay_flat,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,no_trade,0,0,0,0,0,0,0,False,-0.0010359843578355843,-0,0,-0,0,0,0,0,0,0,0,0
,,,,0,prediction-mode-causal-percentile-v2,cross-sectional,0,0,unavailable_flat,True,every-bars,1,dataset-start,dataset,True,dollar-neutral,two-sided,0.5,0.5,mandate-678fa6043016024d,0,,0,insufficient_cross_section,0,flat,0,0,0,0.14999999999999999,1,0,0,0,stay_flat,0,2024-01-02,BRAVO,unavailable,0,0,0,0,stay_flat,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,no_trade,0,0,0,0,0,0,0,False,-0.0082166366781184497,-0,0,-0,0,0,0,0,0,0,0,0
,,,,0,prediction-mode-causal-percentile-v2,cross-sectional,0,0,unavailable_flat,True,every-bars,1,dataset-start,dataset,True,dollar-neutral,two-sided,0.5,0.5,mandate-678fa6043016024d,0,,0,insufficient_cross_section,0,flat,0,0,0,0.14999999999999999,1,0,0,0,stay_flat,0,2024-01-02,CHARLIE,unavailable,0,0,0,0,stay_flat,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,no_trade,0,0,0,0,0,0,0,False,0.017994239769142384,0,0,0,0,0,0,0,0,0,0,0
,,,,0,prediction-mode-causal-percentile-v2,cross-sectional,0,0,unavailable_flat,True,every-bars,1,dataset-start,dataset,True,dollar-neutral,two-sided,0.5,0.5,mandate-678fa6043016024d,0,,0,insufficient_cross_section,0,flat,0,0,0,0.14999999999999999,1,0,0,0,stay_flat,0,2024-01-02,DELTA,unavailable,0,0,0,0,stay_flat,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,no_trade,0,0,0,0,0,0,0,False,0.012423261719325396,0,0,0,0,0,0,0,0,0,0,0
,,,,0,prediction-mode-causal-percentile-v2,cross-sectional,0,0,unavailable_flat,True,every-bars,1,dataset-start,dataset,True,dollar-neutral,two-sided,0.5,0.5,mandate-678fa6043016024d,0,,0,insufficient_cross_section,0,flat,0,0,0,0.14999999999999999,1,0,0,0,stay_flat,0,2024-01-02,ECHO,unavailable,0,0,0,0,stay_flat,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,no_trade,0,0,0,0,0,0,0,False,-0.02136595455423218,-0,0,-0,0,0,0,0,0,0,0,0
,,,,0,prediction-mode-causal-percentile-v2,cross-sectional,0,0,unavailable_flat,True,every-bars,1,dataset-start,dataset,True,dollar-neutral,two-sided,0.5,0.5,mandate-678fa6043016024d,0,,0,insufficient_cross_section,0,flat,0,0,0,0.14999999999999999,1,0,0,0,stay_flat,0,2024-01-02,FOXTROT,unavailable,0,0,0,0,stay_flat,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,no_trade,0,0,0,0,0,0,0,False,0.0007758736664291721,0,0,0,0,0,0,0,0,0,0,0
,,,,0,prediction-mode-causal-percentile-v2,cross-sectional,0,0,unavailable_flat,True,every-bars,1,dataset-start,dataset,True,dollar-neutral,two-sided,0.5,0.5,mandate-678fa6043016024d,0,,0,insufficient_cross_section,0,flat,0,0,0,0.14999999999999999,1,0,0,0,stay_flat,0,2024-01-03,ALPHA,unavailable,0,0,0,0,stay_flat,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,no_trade,0,0,0,0,0,0,0,False,-0.00092911765276126879,-0,0,-0,0,0,0,0,0,0,0,0
,,,,0,prediction-mode-causal-percentile-v2,cross-sectional,0,0,unavailable_flat,True,every-bars,1,dataset-start,dataset,True,dollar-neutral,two-sided,0.5,0.5,mandate-678fa6043016024d,0,,0,insufficient_cross_section,0,flat,0,0,0,0.14999999999999999,1,0,0,0,stay_flat,0,2024-01-03,BRAVO,unavailable,0,0,0,0,stay_flat,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,no_trade,0,0,0,0,0,0,0,False,0.010865639177003006,0,0,0,0,0,0,0,0,0,0,0
,,,,0,prediction-mode-causal-percentile-v2,cross-sectional,0,0,unavailable_flat,True,every-bars,1,dataset-start,dataset,True,dollar-neutral,two-sided,0.5,0.5,mandate-678fa6043016024d,0,,0,insufficient_cross_section,0,flat,0,0,0,0.14999999999999999,1,0,0,0,stay_flat,0,2024-01-03,CHARLIE,unavailable,0,0,0,0,stay_flat,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,no_trade,0,0,0,0,0,0,0,False,0.018947677583481815,0,0,0,0,0,0,0,0,0,0,0
,,,,0,prediction-mode-causal-percentile-v2,cross-sectional,0,0,unavailable_flat,True,every-bars,1,dataset-start,dataset,True,dollar-neutral,two-sided,0.5,0.5,mandate-678fa6043016024d,0,,0,insufficient_cross_section,0,flat,0,0,0,0.14999999999999999,1,0,0,0,stay_flat,0,2024-01-03,DELTA,unavailable,0,0,0,0,stay_flat,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,no_trade,0,0,0,0,0,0,0,False,0.0029029813391336923,0,0,0,0,0,0,0,0,0,0,0
