timestamp,gross_return,net_return,benchmark_return,one_way_turnover,traded_notional,cost,gross_exposure,net_exposure,cash_weight,max_abs_weight,concentration_hhi,rebalanced,decision_eligible,decision_schedule_kind,decision_every_bars,decision_anchor,decision_session,execution_reason,execution_risk_status,execution_risk_forecast_available,execution_risk_observations,pretrade_risk_forecast_annualized,proposed_risk_forecast_pre_annualized,proposed_risk_forecast_post_annualized,executed_risk_forecast_annualized,execution_risk_ceiling_annualized,proposed_runtime_risk_scale,execution_risk_repair_scale,proposed_one_way_turnover,ordinary_rebalance,risk_rebalance_override,constraint_rebalance_override,constraint_repair_one_way,executed_constraint_maximum_error,max_participation,mean_participation
2024-01-02,0,0,9.5799927451789611e-05,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-03,0,0,-0.00030717445758671175,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-04,0,0,-0.0002001847087109154,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-05,0,0,-4.3126983264187119e-07,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-08,0,0,0.0029071664573419769,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-09,0,0,-0.00013281169145303487,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-10,0,0,-0.001533195772726611,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-11,0,0,0.00040095257449433247,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-12,0,0,0.0015487072719669874,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-15,0,0,-0.00044233918351734513,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-16,0,0,-0.0014836926246838598,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-17,0,0,0.00023849791336931036,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-18,0,0,0.001956383603460417,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-19,0,0,0.002385132107141585,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-22,0,0,0.00036047915514340412,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-23,0,0,0.00028491823648757475,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-24,0,0,0.0013776412993804867,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-25,0,0,0.0024502387048294101,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-26,0,0,0.0027387661642750971,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-29,0,0,0.001734683712026915,0,0,0,0,0,1,0,0,False,True,every-bars,1,dataset-start,dataset,portfolio_no_trade_band,flat,True,0,0,0,0,0,0.14999999999999999,1,1,0,False,False,False,0,0,0,0
2024-01-30,0.011738255539478193,0.010738255539478193,0.0015421567921681991,0.5,1,0.001,1,0,0,0.29999999999999999,0.25762114532662234,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,20,0,0.10750092776293081,0.10750092776293081,0.10750092776293081,0.14999999999999999,1,1,0.5,True,False,False,0,0,0.0022582007940381323,0.00084798089056702076
2024-01-31,0.0035875304453491189,0.0034159407006999773,0.0026456888134835377,0.085794872324570712,0.17158974464914142,0.00017158974464914143,1,0,0,0.29999999999999999,0.26000000000000001,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,21,0.11115925992187792,0.10594536454167937,0.10594536454167937,0.10594536454167937,0.14999999999999999,1,1,0.085794872324570712,True,False,False,0,0,0.00053736555695466331,0.00012820412788492233
2024-02-01,-0.0025425419514376515,-0.0027016613838527085,0.0017156324589844469,0.079559716207528511,0.15911943241505702,0.00015911943241505701,1,-2.7755575615628914e-17,0,0.29999999999999999,0.25647475522978658,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,22,0.10388141638221338,0.11023752535280756,0.11023752535280756,0.11023752535280756,0.14999999999999999,1,1,0.079559716207528511,True,False,False,0,2.7755575615628914e-17,0.0003934217739025412,0.00013038035292242949
2024-02-02,0.0059692087865808709,0.0053990680709057109,7.1665116353647446e-05,0.28507035783758017,0.57014071567516034,0.00057014071567516031,0.99999999999999989,-2.7755575615628914e-17,1.1102230246251565e-16,0.28634486931219078,0.25420261706629049,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,23,0.10793498766282746,0.10622414518699368,0.10622414518699368,0.10622414518699368,0.14999999999999999,1,1,0.28507035783758017,True,False,False,4.163336342344337e-17,5.5511151231257827e-17,0.0019748138361640184,0.00045668923674220562
2024-02-05,0.0003908206230182126,-0.00035111248145707624,0.001676242348319386,0.37096655223764441,0.74193310447528882,0.00074193310447528884,1,0,0,0.29999999999999999,0.2588143281208018,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,24,0.10445366538132313,0.11790082477139623,0.11790082477139623,0.11790082477139623,0.14999999999999999,1,1,0.37096655223764441,True,False,False,0,0,0.0011396395512639653,0.00051828603647432353
2024-02-06,0.0055539602886750822,0.0050571349673330769,0.0013237544145784372,0.24841266067100271,0.49682532134200541,0.00049682532134200541,1,2.0816681711721685e-17,0,0.29999999999999999,0.24012401207283002,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,25,0.11584690009909773,0.098468652251269523,0.098468652251269523,0.098468652251269523,0.14999999999999999,1,1,0.24841266067100271,True,False,False,0,2.0816681711721685e-17,0.00085305629678455823,0.00030170686924388212
2024-02-07,-0.0032946007687355131,-0.0035220202533195544,0.00012918314763952574,0.11370974229202063,0.22741948458404126,0.00022741948458404124,0.99999999999999989,-2.7755575615628914e-17,1.1102230246251565e-16,0.29999999999999999,0.2386647758439423,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,26,0.096753932350456789,0.10681074284201593,0.10681074284201593,0.10681074284201593,0.14999999999999999,1,1,0.11370974229202063,True,False,False,0,2.7755575615628914e-17,0.00067857454233303659,0.00017301111372505586
2024-02-08,0.0013759676309488338,0.0011459039810973654,0.0034339233966844316,0.11503182492573424,0.23006364985146849,0.0002300636498514685,0.99999999999999989,-5.5511151231257827e-17,1.1102230246251565e-16,0.29999999999999999,0.23243502674382177,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,27,0.10594818157642029,0.10729393272634727,0.10729393272634727,0.10729393272634727,0.14999999999999999,1,1,0.11503182492573424,True,False,False,4.163336342344337e-17,0,0.0014922141481178266,0.00028884284077669418
2024-02-09,0.001029727514983012,0.0006865499225683705,0.0010819459612967746,0.17158879620732076,0.34317759241464152,0.00034317759241464155,1,0,0,0.29999999999999999,0.2586590691893304,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,28,0.10536305205168704,0.1041164771429038,0.1041164771429038,0.1041164771429038,0.14999999999999999,1,1,0.17158879620732076,True,False,False,0,0,0.00083432122521993305,0.00027183307992550444
2024-02-12,-0.010571289079308344,-0.010572317747575308,0.00055616301743170228,0.0005143341334823831,0.0010286682669647662,1.0286682669647662e-06,0.99805084687423984,0,0.0019491531257601613,0.29978040013047852,0.25752573589929412,True,True,every-bars,1,dataset-start,dataset,mandate_constraint_override,constraint_repaired,True,29,0.10209291461968073,0.10247351885195786,0.10247351885195786,0.10199212272564974,0.14999999999999999,1,1,0.0036794106057492365,False,False,True,0.0005143341334823831,0,4.9609622759815681e-06,1.1245068611951206e-06
2024-02-13,0.009777490261169669,0.0089575117940881958,0.0010977889224373925,0.40998923354073635,0.81997846708147271,0.00081997846708147274,1,0,0,0.29999999999999999,0.22217061724003023,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,30,0.10677319682596603,0.11684213021698743,0.11684213021698743,0.11684213021698743,0.14999999999999999,1,1,0.40998923354073635,True,False,False,0,0,0.0010483514486572087,0.00068680952748530427
2024-02-14,0.0062083171830286336,0.0059714166207909657,0.0025855514444551582,0.11845028111883377,0.23690056223766753,0.00023690056223766751,1,0,0,0.29999999999999999,0.26000000000000001,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,31,0.11650041815128076,0.12944081327692025,0.12944081327692025,0.12944081327692025,0.14999999999999999,1,1,0.11845028111883377,True,False,False,0,0,0.00040637732409072195,0.00021531747474516126
2024-02-15,-0.0004108841148245124,-0.00041705412661730842,0.0022622207592880028,0.0030850058963979993,0.0061700117927959985,6.1700117927959982e-06,0.98920751519752648,0,0.010792484802473523,0.29859238692975282,0.25487917596257359,True,True,every-bars,1,dataset-start,dataset,mandate_constraint_override,constraint_repaired,True,32,0.12805091048093201,0.12851259568471263,0.12851259568471263,0.12731549320591062,0.14999999999999999,1,1,0.003865386942118243,False,False,True,0.0030850058963979993,0,1.9690019225292598e-05,5.2770374805302766e-06
2024-02-16,-0.003836517329002032,-0.0041226936194666362,0.0022355183970508654,0.14308814523230196,0.28617629046460391,0.00028617629046460389,1,0,0,0.29999999999999999,0.24337514144160322,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,33,0.12552961710505389,0.12363816280338208,0.12363816280338208,0.12363816280338208,0.14999999999999999,1,1,0.14308814523230196,True,False,False,0,0,0.0015844951515468148,0.000369561745875847
2024-02-19,0.00023442156387648913,0.00022292048171668205,0.0010406167106612092,0.00575054107990354,0.01150108215980708,1.150108215980708e-05,0.99875749193583752,-5.5511151231257827e-17,0.0012425080641624842,0.29999999999999999,0.2423469312350191,True,True,every-bars,1,dataset-start,dataset,mandate_constraint_override,constraint_repaired,True,34,0.12347264022013574,0.12224346789625996,0.12224346789625996,0.12186693580313708,0.14999999999999999,1,1,0.0078214201855734168,False,False,True,0.00575054107990354,5.5511151231257827e-17,2.6065083439918327e-05,7.7252228242247678e-06
2024-02-20,-0.0020797771758936157,-0.002603337945907063,0.00060728077033021333,0.26178038500672357,0.52356077001344714,0.00052356077001344716,1,0,0,0.29999999999999999,0.26000000000000001,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,35,0.12012910520489598,0.10301443327551273,0.10301443327551273,0.10301443327551273,0.14999999999999999,1,1,0.26178038500672357,True,False,False,0,0,0.0025478358377288074,0.00054464973188829413
2024-02-21,-0.00049599556407731757,-0.00095110570636589118,0.0022650999663338576,0.2275550711442868,0.4551101422885736,0.00045511014228857361,1,4.163336342344337e-17,0,0.29999999999999999,0.2414391780963028,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,36,0.10151454491908074,0.091105704344837737,0.091105704344837737,0.091105704344837737,0.14999999999999999,1,1,0.2275550711442868,True,False,False,0,4.163336342344337e-17,0.00076652059477913298,0.00024993711561479729
2024-02-22,-0.0059938178668304306,-0.0061365113845436043,0.00037191904739316189,0.071346758856586867,0.14269351771317373,0.00014269351771317373,1,0,0,0.29999999999999999,0.26000000000000001,True,True,every-bars,1,dataset-start,dataset,rebalance_threshold_met,within_ceiling,True,37,0.090193925606684211,0.089636660070861574,0.089636660070861574,0.089636660070861574,0.14999999999999999,1,1,0.071346758856586867,True,False,False,0,0,0.00027424051878436391,7.9332279092824079e-05
