fold,seed,split,timestamp,action,decision_eligible,decision_schedule_kind,decision_every_bars,decision_anchor,decision_session,reward,gross_return,net_return,one_way_turnover,cost,execution_risk_status,execution_risk_forecast_available,execution_risk_observations,pretrade_risk_forecast_annualized,executed_risk_forecast_annualized,execution_risk_ceiling_annualized,risk_rebalance_override,execution_reason,gross_exposure,proposed_one_way_turnover,constraint_rebalance_override,constraint_repair_one_way,executed_constraint_maximum_error
fold-1,11,validation,2024-11-04,intraday,True,every-bars,1,dataset-start,dataset,0.0085947227724271283,0.0096039463509783752,0.008603946350978376,0.5,0.001,within_ceiling,True,60,0,0.096538602383172509,0.14999999999999999,False,rebalance_threshold_met,1,0.5,False,0,0
fold-1,11,validation,2024-11-05,balanced,True,every-bars,1,dataset-start,dataset,-0.0077289171635831089,-0.0066864557698400381,-0.0077244462945069061,0.51899526233343418,0.0010379905246668685,within_ceiling,True,60,0.096456081909402372,0.084390043591766939,0.14999999999999999,False,rebalance_threshold_met,0.99999999999999989,0.51899526233343418,False,4.5102810375396984e-17,5.5511151231257827e-17
fold-1,11,validation,2024-11-06,intraday,True,every-bars,1,dataset-start,dataset,0.0065976264556505161,0.0078186836715702351,0.0066037396370861243,0.60747201724205513,0.0012149440344841104,within_ceiling,True,60,0.085148203333963238,0.095242537885545667,0.14999999999999999,False,rebalance_threshold_met,1,0.60747201724205513,False,0,0
fold-1,11,validation,2024-11-07,balanced,True,every-bars,1,dataset-start,dataset,-0.0021154620256979544,-0.0009740150764088885,-0.0021153671551610471,0.57067603937607947,0.0011413520787521589,within_ceiling,True,60,0.096029555813176529,0.088586877771302586,0.14999999999999999,False,rebalance_threshold_met,0.99999999999999989,0.57067603937607947,False,4.163336342344337e-17,0
fold-1,11,validation,2024-11-08,intraday,True,every-bars,1,dataset-start,dataset,0.015769102408449524,0.017803621385789961,0.015800799301894382,1.0014110419477904,0.0020028220838955806,within_ceiling,True,60,0.08860716909484305,0.088535103168000659,0.14999999999999999,False,rebalance_threshold_met,1,1.0014110419477904,False,0,0
fold-1,11,validation,2024-11-11,balanced,True,every-bars,1,dataset-start,dataset,0.0042700104113636821,0.0057505005096987203,0.0042733172369748863,0.73859163636191683,0.0014771832727238337,within_ceiling,True,60,0.092988044142637505,0.096181096458719265,0.14999999999999999,False,rebalance_threshold_met,1,0.73859163636191683,False,0,0
fold-1,11,validation,2024-11-12,intraday,True,every-bars,1,dataset-start,dataset,0.011954361789384837,0.012759271724634067,0.011970641690879141,0.3943150168774634,0.00078863003375492682,within_ceiling,True,60,0.093714290382990548,0.095489792942205956,0.14999999999999999,False,rebalance_threshold_met,1,0.3943150168774634,False,0,0
fold-1,11,validation,2024-11-13,balanced,True,every-bars,1,dataset-start,dataset,0.0056939317164285876,0.0076863426106265498,0.0056998397027013805,0.99325145396258463,0.0019865029079251693,within_ceiling,True,60,0.097131051023642778,0.090588020538826683,0.14999999999999999,False,rebalance_threshold_met,0.99999999999999989,0.99325145396258463,False,0,2.7755575615628914e-17
fold-1,11,validation,2024-11-14,intraday,True,every-bars,1,dataset-start,dataset,0.0060302121440346454,0.0080296100629827973,0.006036659607811001,0.99647522758589813,0.0019929504551717964,within_ceiling,True,60,0.090835703129506506,0.090406049262391361,0.14999999999999999,False,rebalance_threshold_met,1,0.99647522758589813,False,0,0
fold-1,11,validation,2024-11-15,balanced,True,every-bars,1,dataset-start,dataset,0.0086701991654102029,0.0099492638861126987,0.0086800979505977528,0.63458296775747336,0.0012691659355149466,within_ceiling,True,60,0.089790932586494301,0.091010706999260574,0.14999999999999999,False,rebalance_threshold_met,1,0.63458296775747336,False,4.163336342344337e-17,0
fold-1,11,validation,2024-11-18,intraday,True,every-bars,1,dataset-start,dataset,0.0086870282863181335,0.010153623521366527,0.0086973378933794983,0.72814281399351388,0.0014562856279870277,within_ceiling,True,60,0.092362954864124949,0.095600772530921016,0.14999999999999999,False,rebalance_threshold_met,1,0.72814281399351388,False,0,3.4694469519536142e-17
fold-1,11,validation,2024-11-19,balanced,True,every-bars,1,dataset-start,dataset,0.00082386106391019555,0.0022908832224188824,0.00082438587850407153,0.73324867195740551,0.0014664973439148109,within_ceiling,True,60,0.092667623790093676,0.11017698262436854,0.14999999999999999,False,rebalance_threshold_met,1,0.73324867195740551,False,0,0
fold-1,11,validation,2024-11-20,intraday,True,every-bars,1,dataset-start,dataset,0.013573487385545483,0.014997526572803802,0.013595979965875679,0.70077330346406075,0.0014015466069281215,within_ceiling,True,60,0.10893151489481397,0.096530523302096605,0.14999999999999999,False,rebalance_threshold_met,1,0.70077330346406075,False,0,5.5511151231257827e-17
fold-1,11,validation,2024-11-21,balanced,True,every-bars,1,dataset-start,dataset,0.0076824449928550543,0.0087081384357337813,0.0076900281603566444,0.50905513768856858,0.0010181102753771371,within_ceiling,True,60,0.099278545514367336,0.091440962544251159,0.14999999999999999,False,rebalance_threshold_met,1,0.50905513768856858,False,0,5.5511151231257827e-17
fold-1,11,validation,2024-11-22,intraday,True,every-bars,1,dataset-start,dataset,0.010535502295361317,0.01167410351747273,0.010549130764654984,0.56248637640887267,0.0011249727528177453,within_ceiling,True,60,0.088775410790434148,0.091689621686380743,0.14999999999999999,False,rebalance_threshold_met,1,0.56248637640887267,False,4.163336342344337e-17,5.5511151231257827e-17
fold-1,11,validation,2024-11-25,balanced,True,every-bars,1,dataset-start,dataset,-0.005095975900655178,-0.0039137518716962994,-0.005094444155283857,0.59034614179377853,0.0011806922835875572,within_ceiling,True,60,0.09082128885192231,0.094630147281851512,0.14999999999999999,False,rebalance_threshold_met,1,0.59034614179377853,False,0,0
fold-1,11,validation,2024-11-26,intraday,True,every-bars,1,dataset-start,dataset,0.0053060698708150989,0.0065980484106287936,0.0053104232950979989,0.64381255776539725,0.0012876251155307945,within_ceiling,True,60,0.094903974623885376,0.085513973928547315,0.14999999999999999,False,rebalance_threshold_met,1,0.64381255776539725,False,0,0
fold-1,11,validation,2024-11-27,balanced,True,every-bars,1,dataset-start,dataset,0.0014610492877054615,0.0025928566925931111,0.001461721578288294,0.56556755715240858,0.001131135114304817,within_ceiling,True,60,0.085138532219794102,0.079001662594594221,0.14999999999999999,False,rebalance_threshold_met,1,0.56556755715240858,False,6.2450045135165055e-17,0
fold-1,11,validation,2024-11-28,intraday,True,every-bars,1,dataset-start,dataset,0.0027515727664420373,0.0047511255515379994,0.002753830085842685,0.99864773284765707,0.0019972954656953144,within_ceiling,True,60,0.079013350116160549,0.084743726864380517,0.14999999999999999,False,rebalance_threshold_met,1,0.99864773284765707,False,0,0
fold-1,11,validation,2024-11-29,balanced,True,every-bars,1,dataset-start,dataset,0.0017940338812154604,0.002914235587201699,0.0017948831581212318,0.55967621454023364,0.0011193524290804672,within_ceiling,True,60,0.084864716959598754,0.088737112299912879,0.14999999999999999,False,rebalance_threshold_met,1,0.55967621454023364,False,0,5.5511151231257827e-17
fold-1,11,validation,2024-12-02,intraday,True,every-bars,1,dataset-start,dataset,0.0032773502647161883,0.0043304230052465887,0.0032792255210566251,0.52559874209498181,0.0010511974841899638,within_ceiling,True,60,0.087585433701482543,0.091698009950745257,0.14999999999999999,False,rebalance_threshold_met,1,0.52559874209498181,False,9.3675067702747583e-17,9.7144514654701197e-17
fold-1,11,validation,2024-12-03,balanced,True,every-bars,1,dataset-start,dataset,-0.0083155342852809528,-0.0071255504641113956,-0.0083104569383392925,0.59245323711394893,0.0011849064742278977,within_ceiling,True,60,0.091506213690781615,0.099279876058806865,0.14999999999999999,False,rebalance_threshold_met,1,0.59245323711394893,False,0,0
fold-1,11,validation,2024-12-04,intraday,True,every-bars,1,dataset-start,dataset,0.0039156424252060297,0.0055018634280051305,0.0039186694753240714,0.79159697634052972,0.0015831939526810594,within_ceiling,True,60,0.10036808092978269,0.089842591687926854,0.14999999999999999,False,rebalance_threshold_met,0.99999999999999989,0.79159697634052972,False,0,2.7755575615628914e-17
fold-1,11,validation,2024-12-05,balanced,True,every-bars,1,dataset-start,dataset,-0.0031314225131992453,-0.0017166260223613892,-0.0031311278327091803,0.70725090517389566,0.0014145018103477913,within_ceiling,True,60,0.089043254675779809,0.086287323562758644,0.14999999999999999,False,rebalance_threshold_met,1,0.70725090517389566,False,0,0
fold-1,11,validation,2024-12-06,intraday,True,every-bars,1,dataset-start,dataset,0.0060941539630236302,0.0071302259634928675,0.0060992379752526768,0.51549399412009544,0.0010309879882401908,within_ceiling,True,60,0.083767409966679141,0.094006904070363287,0.14999999999999999,False,rebalance_threshold_met,1,0.51549399412009544,False,4.163336342344337e-17,2.7755575615628914e-17
fold-1,11,validation,2024-12-09,balanced,True,every-bars,1,dataset-start,dataset,-0.0042630589802629551,-0.0027784959233353012,-0.0042622869763033564,0.74189552648402746,0.001483791052968055,within_ceiling,True,60,0.093707569953801403,0.093580578159459221,0.14999999999999999,False,rebalance_threshold_met,1,0.74189552648402746,False,0,2.7755575615628914e-17
fold-1,11,validation,2024-12-10,intraday,True,every-bars,1,dataset-start,dataset,0.011504810625446593,0.013412677249568721,0.011522800616546702,0.94493831651100935,0.0018898766330220187,within_ceiling,True,60,0.094009650409244083,0.091715602038311125,0.14999999999999999,False,rebalance_threshold_met,1,0.94493831651100935,False,9.0205620750793969e-17,5.5511151231257827e-17
fold-1,11,validation,2024-12-11,balanced,True,every-bars,1,dataset-start,dataset,-0.0056334878086333985,-0.0040750701083303569,-0.0056318271889946175,0.77837854033213016,0.0015567570806642604,within_ceiling,True,60,0.093101414084367742,0.083738971747762792,0.14999999999999999,False,rebalance_threshold_met,1,0.77837854033213016,False,0,5.5511151231257827e-17
fold-1,11,validation,2024-12-12,intraday,True,every-bars,1,dataset-start,dataset,0.0097868109596463554,0.011113649613607945,0.0097991622804197605,0.65724366659409217,0.0013144873331881843,within_ceiling,True,60,0.083521664486889344,0.079238275261090133,0.14999999999999999,False,rebalance_threshold_met,1,0.65724366659409217,False,0,0
fold-1,11,validation,2024-12-13,balanced,True,every-bars,1,dataset-start,dataset,0.0008418400089251775,0.0010421018416897727,0.0008419486065500228,0.10007661756987493,0.00020015323513974988,within_ceiling,True,60,0.079995659037418912,0.082599345793671203,0.14999999999999999,False,rebalance_threshold_met,1,0.10007661756987493,False,0,5.5511151231257827e-17
fold-1,11,validation,2024-12-16,intraday,True,every-bars,1,dataset-start,dataset,0.019347118477862784,0.021395517156102661,0.019392895293300492,1.0013109314010848,0.0020026218628021696,within_ceiling,True,60,0.082183127110349599,0.091120409870847449,0.14999999999999999,False,rebalance_threshold_met,1,1.0013109314010848,False,0,0
fold-1,11,validation,2024-12-17,balanced,True,every-bars,1,dataset-start,dataset,0.00078602032861725614,0.0024106739923168627,0.00078660146352697944,0.8120362643949417,0.0016240725287898833,within_ceiling,True,60,0.098448716130231401,0.090468647105652306,0.14999999999999999,False,rebalance_threshold_met,1,0.8120362643949417,False,4.163336342344337e-17,2.7755575615628914e-17
fold-1,11,validation,2024-12-18,intraday,True,every-bars,1,dataset-start,dataset,0.0070903653765426984,0.0086451971064971708,0.0070978393198437174,0.77367889332672646,0.001547357786653453,within_ceiling,True,60,0.089481347752041945,0.085355139772095565,0.14999999999999999,False,rebalance_threshold_met,1,0.77367889332672646,False,0,0
fold-1,11,validation,2024-12-19,balanced,True,every-bars,1,dataset-start,dataset,0.01585516335933736,0.017074512378312281,0.015884317256633074,0.59509756083960386,0.0011901951216792077,within_ceiling,True,60,0.086113273070785007,0.095250929401859336,0.14999999999999999,False,rebalance_threshold_met,1,0.59509756083960386,False,0,0
fold-1,11,validation,2024-12-20,intraday,True,every-bars,1,dataset-start,dataset,0.0073947202140707694,0.008993373368949252,0.0074028082905261017,0.7952825392115751,0.0015905650784231503,within_ceiling,True,60,0.094552904290640366,0.094969413185918325,0.14999999999999999,False,rebalance_threshold_met,1,0.7952825392115751,False,0,0
fold-1,11,validation,2024-12-23,balanced,True,every-bars,1,dataset-start,dataset,0.0079425152975631241,0.0099504386090311838,0.0079524164204143339,0.99901109430842494,0.0019980221886168499,within_ceiling,True,60,0.096113643907376548,0.097237625583787804,0.14999999999999999,False,rebalance_threshold_met,1,0.99901109430842494,False,0,0
fold-1,11,validation,2024-12-24,intraday,True,every-bars,1,dataset-start,dataset,-0.0058441738401674975,-0.0047240920513286879,-0.005841942135596555,0.55892504213393357,0.0011178500842678671,within_ceiling,True,60,0.098735347842333746,0.089977150953687676,0.14999999999999999,False,rebalance_threshold_met,1,0.55892504213393357,False,0,0
fold-1,11,validation,2024-12-25,balanced,True,every-bars,1,dataset-start,dataset,0.0097394274342221341,0.010912454824227031,0.0097513356012512136,0.58055961148790847,0.0011611192229758168,within_ceiling,True,60,0.090486575019715632,0.092910233509945553,0.14999999999999999,False,rebalance_threshold_met,1,0.58055961148790847,False,0,0
fold-1,11,validation,2024-12-26,intraday,True,every-bars,1,dataset-start,dataset,-0.010726895706954289,-0.01000751980176604,-0.010716880661696015,0.35468042996498722,0.00070936085992997448,within_ceiling,True,60,0.09416964110001555,0.098507102248489256,0.14999999999999999,False,rebalance_threshold_met,1,0.35468042996498722,False,0,2.7755575615628914e-17
